"","Project","Sample_Location","Date","npoc_mgL","npoc_uM","npoc_flag","tdn_mgL","tdn_uM","tdn_flag","Analysis_runtime","Run_notes"
"12","FATE","Dock","20250529",5.613,467.321621846641,"",0.08988,6.41692904110176,"TN dups out of range","9/18/2025 7:11:18 PM","TN duplicates were out of range, accepting because checks and other QA all fine."
"13","FATE","Flume","20250529",9.861,820.997419032553,"",0.472,33.6981587383181,"TN dups out of range","9/18/2025 7:46:52 PM","TN duplicates were out of range, accepting because checks and other QA all fine."
"14","FATE","Dock","20250605",5.284,439.930064107901,"",0.2056,14.6786894843182,"TN dups out of range","9/18/2025 8:20:24 PM","TN duplicates were out of range, accepting because checks and other QA all fine."
"15","FATE","Flume","20250605",6.486,540.004995420864,"",0.185,13.2079647597221,"TN dups out of range","9/18/2025 8:54:31 PM","TN duplicates were out of range, accepting because checks and other QA all fine."
"16","FATE","Dock","20250612",7.118,592.623428523853,"",0.3056,21.8181298949788,"TN dups out of range","9/18/2025 9:27:59 PM","TN duplicates were out of range, accepting because checks and other QA all fine."
"17","FATE","Flume","20250612",10.18,847.556406627258,"",0.5231,37.3464127881657,"TN dups out of range","9/18/2025 10:03:44 PM","TN duplicates were out of range, accepting because checks and other QA all fine."
"18","FATE","Dock","20250627",6.459,537.757056031971,"",0.273,19.4906723211035,"TN dups out of range","9/18/2025 10:38:57 PM","TN duplicates were out of range, accepting because checks and other QA all fine."
"19","FATE","Flume","20250627",10.98,914.162018150029,"",0.4699,33.5482304896942,"TN dups out of range","9/18/2025 11:08:45 PM","TN duplicates were out of range, accepting because checks and other QA all fine."
"20","FATE","Dock","20250716",7.653,637.165931229706,"",0.2458,17.5487445294038,"TN dups out of range","9/18/2025 11:45:28 PM","TN duplicates were out of range, accepting because checks and other QA all fine."
"21","FATE","Flume","20250716",15.34,1277.16260094913,"",0.5662,40.4235116051604,"TN dups out of range","9/19/2025 2:41:53 AM","TN duplicates were out of range, accepting because checks and other QA all fine."
"22","FATE","Dock","20250724",7.347,611.689284822246,"",0.2692,19.2193735854984,"TN dups out of range","9/19/2025 3:18:33 AM","TN duplicates were out of range, accepting because checks and other QA all fine."
"23","FATE","Flume","20250724",11.77,979.935059528765,"",0.3881,27.7081682337738,"TN dups out of range","9/19/2025 3:55:24 AM","TN duplicates were out of range, accepting because checks and other QA all fine."
"24","FATE","Dock","20250813",6.969,580.218133377737,"",0.1894,13.5221001377912,"TN dups out of range","9/19/2025 4:31:58 AM","TN duplicates were out of range, accepting because checks and other QA all fine."
"25","FATE","Flume","20250813",9.442,786.112729997502,"",0.363,25.916168690698,"TN dups out of range","9/19/2025 5:08:26 AM","TN duplicates were out of range, accepting because checks and other QA all fine."
"26","FATE","Dock","20250829",6.013,500.624427608026,"",0.2632,18.7910071608587,"TN dups out of range","9/19/2025 5:43:32 AM","TN duplicates were out of range, accepting because checks and other QA all fine."
"27","FATE","Flume","20250829",10.48,872.533510948297,"",0.5258,37.5391776792535,"TN dups out of range","9/19/2025 6:21:05 AM","TN duplicates were out of range, accepting because checks and other QA all fine."
"28","FATE","Dock","20250905",5.775,480.809258180002,"",0.2603,18.5839633889496,"TN dups out of range","9/19/2025 6:57:09 AM","TN duplicates were out of range, accepting because checks and other QA all fine."
"29","FATE","Flume","20250905",9.693,807.010240612772,"",0.3767,26.8942720269585,"TN dups out of range","9/19/2025 7:32:35 AM","TN duplicates were out of range, accepting because checks and other QA all fine."
"30","FATE","Dock","20250912",6.09,507.035217717093,"",0.288,20.5615883827026,"TN dups out of range","9/19/2025 8:01:45 AM","TN duplicates were out of range, accepting because checks and other QA all fine."
"31","FATE","Flume","20250912",11.07,921.655149446341,"",0.6629,47.3273504822692,"TN dups out of range","9/19/2025 9:44:09 AM","TN duplicates were out of range, accepting because checks and other QA all fine."
