"","datetime","TA","DIC","DO","fDOM","S","pH","H","T","flow"
"54","2023-08-08 09:30:00",1487.1,1593.53925568229,0.12,100.1,7.38,6.87,0.59,24.108,-0.0341
"55","2023-08-08 10:30:00",1408,1484.47256681375,0.08,100.62,NA,6.85,0.541,23.993,-0.0064
"56","2023-08-08 11:30:00",1718.85,1867.45483306969,0.07,101.41,NA,6.85,0.551,23.88,-0.0089
"57","2023-08-08 12:30:00",1727.1,2013.15460827575,0.07,100.41,NA,6.86,0.596,24.001,-0.0109
"58","2023-08-08 13:30:00",1942.15,2167.18008492215,0.09,103.44,NA,6.88,0.701,24.097,0.0074
"59","2023-08-08 14:30:00",1960.75,2228.79027558072,0.12,101.57,NA,6.89,0.77,24.463,-0.0079
"60","2023-08-08 15:30:00",1959.75,2249.60452918158,0.11,104.19,NA,7.06,0.874,24.993,0.0434
"61","2023-08-08 16:30:00",1927.7,2216.3017234202,0.26,102.85,NA,6.88,0.95,25.994,0.0934
"62","2023-08-16 04:30:00",1495.8,1506.11939055865,0.08,112.63,9.53,6.68,0.768,27.019,-0.0373
"63","2023-08-16 05:30:00",1509.4,1536.92448588794,0.08,121.4,9.11,6.71,0.71,26.831,-0.0294
"64","2023-08-16 06:30:00",1563.55,1699.27566397469,0.08,120.42,8.79,6.71,0.69,26.632,-0.0468
"65","2023-08-16 07:30:00",1662.65,1828.32403630006,0.48,75.76,9.47,6.94,0.708,27.698,-0.0104
"66","2023-08-16 08:30:00",1830.05,2020.64773957206,0.59,52.53,10.11,7.03,0.753,28.501,-0.008
"67","2023-08-16 09:30:00",2026.5,2290.40046623928,1.28,76.78,9.11,7.03,0.814,27.61,0.0106
"68","2023-08-16 10:30:00",2182.05,2534.34351844143,0.75,85.67,8.96,6.94,0.867,26.789,0.0065
"69","2023-08-16 11:30:00",2269.55,2590.95828823578,0.37,110.26,8.56,6.82,0.908,25.271,0.0307
"70","2023-08-16 12:30:00",2288,2659.22904004662,0.43,132.95,8.19,6.8,0.9,24.362,-0.0539
"71","2023-08-16 13:30:00",2161.1,2267.92107235035,0.25,140.74,7.99,6.78,0.876,24.412,-0.0118
"72","2023-08-16 14:30:00",2096.65,2223.79485471651,0.29,137.81,8.16,6.79,0.822,25.027,-0.0633
"73","2023-08-16 15:30:00",2054.1,2150.52868204146,0.08,149.02,8.2,6.77,0.758,25.702,-0.0219
"74","2023-08-16 16:30:00",1927.8,1973.19124136208,0.08,152.44,8.27,6.72,0.72,26.222,-0.0216
"75","2024-07-15 10:00:00",1815.6,1694.28024311048,0.42,91.98,7.71,6.82,0.766,27.281,-0.0263
"76","2024-07-15 11:00:00",1811.5,1760.88585463325,0.39,99.84,7.69,6.61,0.727,26.851,-0.0063
"77","2024-07-15 12:00:00",1780.9,1815.83548413954,0.41,101.89,7.68,6.61,0.66,26.771,-0.0101
"78","2024-07-15 13:00:00",1824.8,1854.96628090917,0.57,100.61,7.69,6.56,0.648,26.851,0.0104
"79","2024-07-15 14:00:00",1818.8,1900.75763883107,1.02,90.73,7.71,6.63,0.68,27.325,-0.0107
"80","2024-07-15 15:00:00",1888.9,1999.00091582716,0.65,69.47,7.75,6.7,0.82,28.922,0.0025
"81","2024-07-15 16:00:00",1949.9,2056.44825576555,0.92,78.28,7.73,6.57,0.874,29.869,0.0667
"82","2024-07-15 17:00:00",2005.3,2188.82690866706,0.55,86.94,7.71,6.63,0.992,30.108,0.1499
"83","2024-07-15 18:00:00",2130.4,2409.45799683623,0.51,103.92,7.67,6.49,1.028,30.163,0.3161
"84","2024-07-15 19:00:00",2237.1,2345.35009574557,0.37,113,7.73,6.45,1.105,31.099,0.2798
"85","2024-07-15 20:00:00",1926,1972.35867121805,0.34,116.69,7.78,6.65,1.097,31.362,0.1608
"86","2024-07-15 21:00:00",1894,1918.2416118558,0.34,125.37,7.82,6.7,1.078,31.11,-0.1857
"87","2024-07-15 22:00:00",1799.6,1696.77795354259,0.34,139.97,7.84,6.43,1.037,30.097,-0.1585
"88","2024-07-15 23:00:00",1814.3,1679.29398051786,0.35,150.01,7.86,6.52,0.987,29.479,-0.219
"89","2024-07-15",1782.9,1651.81916576472,0.36,150.89,7.5,6.57,0.953,28.649,-0.0921
"90","2024-07-16 01:00:00",1824.7,1631.83748230788,0.35,142.27,7.85,6.63,0.919,29.775,-0.0778
"91","2024-07-16 02:00:00",1785.8,1687.61968195821,0.34,144.79,7.84,6.54,0.924,29.88,-0.011
"92","2024-07-16 03:00:00",1769.8,1758.38814420115,4.04,51.33,7.88,7.21,0.921,31.675,0.008
"93","2024-07-16 04:00:00",1763.5,1771.7092665057,4.97,46.19,7.88,7.27,0.959,31.91,0.0803
"94","2024-07-16 05:00:00",1796.1,1801.68179169095,6.19,42.03,7.89,7.73,0.981,32.052,0.0858
"95","2024-07-16 06:00:00",1786.4,1772.54183664974,5.55,43.51,7.9,7.53,1.01,31.787,0.0947
"96","2024-07-16 07:00:00",1777.4,1852.46857047706,3.74,47.18,7.92,7.18,0.983,31.079,-0.0432
"97","2024-07-16 08:00:00",1779.6,1724.25276829573,1.67,60.4,7.97,6.93,0.977,29.703,-0.1203
"98","2024-07-16 09:00:00",1788.3,1705.10365498293,0.9,69.45,8,6.7,0.901,28.779,-0.0556
"99","2024-07-16 10:00:00",1785.7,1700.94080426276,0.7,82.95,8.06,6.68,0.848,27.842,-0.0188
"100","2024-07-16 11:00:00",1841.7,1636.00033302806,0.54,93.63,8.09,6.63,0.805,27.291,-0.0373
"101","2024-07-16 12:00:00",1773.3,1687.61968195821,0.48,97.7,8.1,6.6,0.734,27.163,-0.0154
"102","2024-07-16 13:00:00",1759.7,1626.84206144368,0.52,98.15,8.11,6.59,0.699,27.381,-0.0138
"103","2024-07-16 14:00:00",1795.5,1783.36524852219,1.08,87.92,8.08,6.65,0.71,27.924,0.0053
"104","2024-07-16 15:00:00",1806.6,1774.20697693781,2.3,72.33,8.04,6.78,0.804,29.17,0.0371
"105","2024-07-16 16:00:00",1833.5,1877.4456747981,5.67,52.02,7.98,7.24,0.886,31.521,0.0723
"106","2024-07-16 17:00:00",1899.5,2024.81059029223,4.25,59.66,8.01,6.96,0.96,31.833,0.1258
"107","2024-07-16 18:00:00",2022,2155.52410290567,3.7,62.71,8.03,6.97,1.094,32.616,0.1267
"108","2024-07-16 19:00:00",2196.8,2257.0976604779,2.06,87.66,8.12,6.62,1.081,31.763,0.3399
"109","2024-07-16 20:00:00",1929.2,2028.14087086837,1.39,103.36,8.18,6.52,1.151,31.85,0.3516
"110","2024-07-16 21:00:00",1865.8,1855.7988510532,0.49,112.45,8.23,6.71,1.145,31.908,0.3268
"111","2024-07-16 22:00:00",1800.7,1693.44767296645,0.33,125.55,8.23,6.75,1.067,31.346,-0.6011
"112","2024-07-16 23:00:00",1837.1,1673.46598950962,0.34,139.17,8.23,6.62,1.02,30.583,-0.232
"113","2024-07-16",1809.8,1676.79627008575,0.35,153.86,7.86,6.66,0.941,29.259,-0.1114
"114","2024-07-17 01:00:00",1828.5,1690.11739239031,0.34,154.29,8.23,6.57,0.894,30.01,-0.1072
"115","2024-07-17 02:00:00",1756.3,1685.1219715261,0.34,146.51,8.22,6.55,0.84,30.215,-0.0875
"116","2024-07-17 03:00:00",1839.5,1761.71842477729,4.06,54.61,8.07,7.12,0.829,31.799,-0.0423
"117","2024-07-17 04:00:00",1765.2,1794.18866039464,5.2,44.22,8.02,7.56,0.848,32.525,-0.0216
"118","2024-07-17 05:00:00",1796.2,1822.49604529182,5.04,44.55,8.02,7.46,0.595,32.185,-0.0193
"119","2024-07-17 06:00:00",1773.7,1864.12455249355,4.74,43.2,8.02,7.43,0.626,32.092,0.0172
"120","2024-07-17 07:00:00",1862.3,1887.43651652652,4.27,43.21,8.03,7.36,0.939,31.863,-0.0294
"121","2024-07-17 08:00:00",1825.5,1841.64515860461,1.86,54.37,8.08,7.01,0.937,30.708,-0.009
"122","2024-07-17 09:00:00",1838,1917.40904171176,1.05,67.16,8.17,6.76,0.92,29.459,-0.0817
"123","2024-07-17 10:00:00",1815.1,1862.45941220548,0.89,79.23,8.26,6.81,0.859,28.408,-0.0543
"124","2024-07-17 11:00:00",1787.9,1734.24361002414,0.77,88.42,8.31,6.72,0.804,27.881,-0.0532
"125","2024-07-17 12:00:00",1787.5,1749.22987261677,0.49,97.78,8.33,6.63,0.723,27.625,-0.0249
"126","2024-07-17 13:00:00",1766.3,1732.57846973608,NA,102.22,8.35,6.61,0.667,27.788,-0.0126
"127","2024-07-17 14:00:00",1728.5,1687.61968195821,0.47,102.93,8.35,6.6,0.641,28.208,-0.0548
"128","2024-07-17 15:00:00",1582,1578.55299308967,0.52,102.49,8.35,6.66,0.719,28.559,0.0495
"129","2024-07-17 16:00:00",1595,1621.84664057947,0.76,98.99,8.35,6.62,0.665,29.054,0.016
"130","2024-07-17 17:00:00",1752.3,1767.54641578553,0.87,83.83,8.3,6.69,0.946,30.55,0.1245
"131","2024-07-17 18:00:00",1901.1,2047.28998418117,1.48,81.23,8.32,6.69,0.854,31.556,0.0844
"132","2024-07-17 19:00:00",1845.8,2097.24419282325,NA,90.43,8.39,6.89,1.068,32.526,0.5063
"133","2024-07-17 20:00:00",2109.4,2254.59995004579,NA,96.74,8.44,6.85,1.034,32.354,0.031
"134","2024-07-17 21:00:00",1992,2141.37041045708,NA,109.93,8.47,6.48,1.135,31.95,0.4322
"135","2024-07-17 22:00:00",NA,1083.17375738906,NA,122.18,8.5,6.6,1.054,31.083,-0.1282
"136","2024-07-17 23:00:00",1853.3,1968.19582049788,NA,137.27,8.46,6.63,1.045,29.907,-0.3184
"137","2024-07-17",1795.3,1680.12655066189,0.35,151.28,8.23,6.64,0.962,29.921,-0.2198
"138","2024-07-18 01:00:00",1798.2,1691.78253267838,NA,136.95,6.81,6.62,0.907,27.702,-0.1757
"139","2024-07-18 02:00:00",1793.6,1666.80542835734,NA,146.28,6.78,6.55,0.869,27.347,-0.0653
"140","2024-07-18 03:00:00",1794.9,1695.94538339855,NA,71.85,7.58,6.96,0.796,29.935,-0.0853
"141","2024-07-18 04:00:00",1769.9,1693.44767296645,NA,120.22,7.11,6.76,0.542,28.011,-0.0304
"142","2024-07-18 05:00:00",1760.3,1759.22071434518,NA,49.29,7.85,7.3,0.748,31.122,-0.0205
"143","2024-07-18 06:00:00",1701.7,1786.69552909833,NA,53.48,7.8,7.16,0.787,30.381,-0.0075
"144","2024-07-18 07:00:00",1801.2,1785.03038881026,NA,48.41,7.87,7.36,0.804,31.03,0.0037
"145","2024-07-18 08:00:00",1927.2,1944.05128632087,NA,59.29,7.84,6.94,0.812,29.803,-0.0266
"146","2024-07-18 09:00:00",2040.2,2065.60652734993,NA,62.82,7.83,6.93,0.807,29.272,0.0074
"147","2024-07-18 10:00:00",2165.5,2161.35209391391,NA,78.34,7.71,6.8,0.766,28.107,-0.0416
"148","2024-07-18 11:00:00",2152.5,2297.06102739156,NA,97.27,7.54,6.69,0.692,27.075,-0.0149
"149","2024-07-18 12:00:00",2087.5,2107.23503455166,NA,108.79,7.4,6.64,0.626,26.69,-0.0104
"150","2024-07-18 13:00:00",2198,2013.98717841978,NA,125.05,7.33,6.62,0.541,26.611,-0.0057
"151","2024-07-18 14:00:00",2089.9,2104.73732411956,NA,137.25,7.28,6.61,0.506,26.52,-0.0054
"152","2024-07-18 15:00:00",2146.4,2238.78111730913,NA,137.84,7.25,6.64,0.47,26.908,-0.0019
"153","2024-07-18 16:00:00",2155.5,2156.3566730497,NA,134.68,7.25,6.63,0.5,27.266,-4e-04
"154","2024-07-18 17:00:00",2505.7,2646.7404878861,NA,131.38,7.26,6.64,0.557,27.492,0.0039
"155","2024-07-18 18:00:00",2742.8,2724.16951128133,NA,133.78,7.24,7.08,0.666,27.761,0.0117
"156","2024-07-18 19:00:00",3036.6,3084.67238364832,NA,121.95,7.19,6.92,0.758,28.532,0.042
"157","2024-07-18 20:00:00",3405.5,3463.49179918408,NA,134.22,7.21,7.41,0.862,28.94,0.0516
"158","2024-07-18 21:00:00",3482.3,3501.79002580967,NA,121.35,7.33,6.91,0.942,28.251,0.0606
"159","2024-07-18 22:00:00",3344.5,3630.83839813504,NA,127.84,7.4,7.07,0.982,28.017,0.0654
"160","2024-07-18 23:00:00",3417.4,3441.01240529515,NA,151.45,7.45,7.14,0.984,27.403,0.0059
"161","2024-07-18",2251.2,2232.12055615686,NA,106.42,6.42,6.75,0.998,27.807,-0.1035
"162","2024-07-19 01:00:00",2132.2,2078.92764965448,NA,161.85,7.53,6.68,0.924,26.515,-0.1095
"163","2024-07-19 02:00:00",2018.9,1930.73016401632,NA,160.41,7.57,6.71,0.868,26.135,-0.047
"164","2024-07-19 03:00:00",1972.2,1834.98459745234,NA,165.15,7.6,6.85,0.775,25.799,-0.0563
"165","2024-07-19 04:00:00",2017.7,1866.62226292565,NA,163.03,7.59,6.91,0.74,25.65,-0.0197
"166","2024-07-19 05:00:00",2003.4,1834.1520273083,NA,152.25,7.59,7.08,0.729,25.628,0.0028
"167","2024-07-19 06:00:00",2026.9,1919.90675214387,NA,142.11,7.6,6.82,0.533,26.118,0.0048
"168","2024-07-19 07:00:00",2049.7,1999.00091582716,NA,68.92,7.74,7.67,0.798,27.638,0.0432
"169","2024-07-15 09:00:00",1806.2,1722.58762800766,0.57,82.87,7.72,6.8,0.824,27.846,-0.0651
"170","2024-07-15 10:00:00",1811.5,1840.81258846058,0.42,91.98,7.71,6.82,0.766,27.281,-0.0263
"171","2024-07-18 12:00:00",NA,2406.96028640413,NA,108.79,7.4,6.64,0.626,26.69,-0.0104
"172","2024-07-18 13:00:00",NA,2431.93739072517,NA,125.05,7.33,6.62,0.541,26.611,-0.0057
"173","2023-01-03 14:45:00",1475465,NA,NA,NA,NA,NA,NA,NA,NA
"174","2023-01-18 10:35:00",1211236,NA,8.2,51.62,8.38,6.93,NA,2.578,NA
"175","2023-01-24 11:15:00",1576593,NA,NA,NA,NA,NA,NA,NA,NA
"176","2023-02-07 12:20:00",1346695,NA,9.04,30.52,9.56,7.95,NA,5.842,NA
"177","2023-02-16 09:45:00",1308622,NA,NA,NA,NA,NA,NA,NA,NA
"178","2023-02-23 14:30:00",1174436,NA,10.12,35.98,9.08,7.94,NA,8.853,NA
"179","2023-03-01 10:15:00",1416458,NA,NA,NA,NA,NA,NA,NA,NA
"180","2023-03-07 10:15:00",1211780,NA,NA,NA,NA,NA,NA,NA,NA
"181","2023-03-21 10:55:00",1386083,NA,10.25,34.08,10.2,7.96,NA,6.907,NA
"182","2023-04-03 14:30:00",1397590,NA,10.24,26.72,10.22,8.3,NA,14.885,NA
"183","2023-04-13 10:20:00",2054894,NA,-0.04,80.76,NA,6.79,NA,NA,NA
"184","2023-04-18 13:50:00",1461963,NA,2.79,90.19,NA,6.84,NA,NA,NA
"185","2023-04-25 11:00:00",1424663,NA,3.94,68.22,NA,7.13,NA,NA,NA
"186","2023-05-03 11:20:00",1222021,NA,NA,NA,NA,NA,NA,NA,NA
"187","2023-05-15 13:00:00",1291057,NA,2.94,89.38,7.68,6.62,NA,16.28,NA
"188","2023-05-24 14:40:00",1284411,NA,5.51,37.56,8.38,7.3,NA,21.612,NA
"189","2023-06-05 11:05:00",1437243,NA,3.78,30.28,NA,7.05,1.083,NA,0.1733
"190","2023-06-13 10:25:00",2137690,NA,0.9,87.21,9.76,6.85,0.835,19.17,-0.0521
"191","2023-06-20 10:30:00",1589736,NA,2.44,26.28,11.89,7.29,1.054,25.503,0.1902
"192","2023-06-28 14:45:00",1922349,NA,NA,NA,NA,NA,0.739,NA,0.0042
"193","2023-07-05 12:00:00",1885678,NA,1.98,47.18,11.59,7,0.999,28.151,0.1218
"194","2023-07-11 12:05:00",1576658,NA,0.3,79.72,9.86,6.95,0.724,23.331,-0.0277
"195","2023-07-11 17:10:00",2177459,NA,2.4,61.96,9.31,7.07,1.086,27.53,0.4101
"196","2023-07-12 11:15:00",1872543,NA,NA,NA,NA,NA,0.744,NA,-0.0332
"197","2023-07-13 11:35:00",1865366,NA,0.49,50.04,11.78,6.95,0.864,24.995,-0.0926
"198","2023-07-13 15:25:00",1805028,NA,1.48,54.37,11.63,6.99,0.795,26.001,0.0106
"199","2023-07-14 10:30:00",1986830,NA,0.53,41.56,12.03,6.97,0.878,27.122,-0.12
"200","2023-07-14 15:45:00",1880702,NA,NA,NA,NA,NA,0.63,NA,0.0154
"201","2023-07-18 10:00:00",1773333,NA,3.02,48.11,11.74,7.35,0.962,28.988,0.0279
"202","2023-07-26 11:00:00",1566892,NA,0.05,123.86,6.72,6.92,0.656,22.903,-0.0119
"203","2023-08-02 11:00:00",1540730,NA,0.24,53.07,10.37,7.26,1.049,26.986,0.244
"204","2023-08-22 11:35:00",3616045,NA,0.56,81.52,11.11,6.98,0.524,25.705,0.0018
"205","2023-08-30 10:50:00",1929600,NA,1.16,NA,11.87,7.12,1.129,26.09,-0.0878
"206","2023-09-05 10:35:00",2052221,NA,0.13,86.77,12.33,6.95,0.687,25.131,0.0034
"207","2023-09-14 12:40:00",3207756,NA,0.12,133.16,NA,6.76,0.901,NA,-0.073
"208","2023-09-19 10:50:00",2990143,NA,0.35,119.51,NA,6.77,0.752,NA,0.0173
"209","2023-10-11 11:15:00",1763221,NA,NA,NA,NA,NA,1.054,NA,-0.3064
"210","2023-10-20 15:15:00",1733515,NA,NA,NA,NA,NA,1.245,NA,0.6028
"211","2023-10-30 11:00:00",1944524,NA,4.43,40.56,15.08,7.24,1.171,18.257,0.7643
"212","2023-11-08 12:25:00",2034861,NA,3.09,86.44,14.78,6.88,0.791,9.409,-0.0141
"213","2023-11-17 13:10:00",1982216,NA,3.69,67.77,14.87,6.9,1.023,6.782,0.2804
"214","2023-11-29 11:00:00",3558025,NA,0.99,99.61,12.39,6.88,0.101,3.882,-5e-04
"215","2023-12-19 12:15:00",806420,NA,NA,NA,NA,NA,NA,NA,NA
"216","2024-01-03 13:35:00",1185678,NA,8.35,26.11,8.73,NA,13.3,8.205,0
"217","2023-01-10 11:20:00",1420065,NA,10.45,21.91,10.7,8.24,NA,7.149,NA
"218","2024-01-12 10:15:00",1230647,NA,NA,NA,NA,NA,0.772,NA,0.1677
"219","2024-01-18 10:55:00",1223146,NA,6.02,39.9,7.71,5.52,0,0.254,0
"220","2024-02-01 15:40:00",1057554,NA,12.11,36.37,7.06,8.04,0.095,6.554,0.0115
"221","2024-02-22 14:30:00",1235288,NA,8.27,48.63,5.65,6.78,1.115,3.002,-0.6982
"222","2024-02-27 10:50:00",1214404,NA,10.76,34.12,7.13,7.45,0.885,7.803,0.054
"223","2024-03-08 14:05:00",1013768,NA,NA,NA,NA,NA,0.104,NA,-0.0142
"224","2024-03-20 11:05:00",1141055,NA,5.71,42.35,6.2,6.87,0.824,7.085,-0.0257
"225","2024-04-12 15:10:00",981610,NA,NA,NA,NA,NA,1.016,NA,0.0238
"226","2024-04-18 11:30:00",1309668,NA,1.57,78.77,4.33,6.44,0.921,15.887,-0.1275
"227","2024-04-25 14:00:00",1104680,NA,6.67,53.06,3.15,6.76,1.001,14.489,-0.0393
"228","2024-05-09 12:15:00",1276236,NA,NA,NA,NA,NA,1.058,NA,-0.0515
"229","2024-05-14 10:45:00",1120013,NA,NA,NA,NA,NA,0.918,NA,-0.1526
"230","2024-05-24 11:10:00",1586156,NA,2.39,45.63,3.85,6.7,1.002,24.556,0.1536
"231","2024-06-05 11:20:00",1408891,NA,1.88,40.2,5.08,6.9,1.147,26.211,-0.4764
"232","2024-06-13 12:15:00",1491370,NA,NA,NA,NA,NA,NA,NA,NA
"233","2024-06-20 14:10:00",2254353,NA,0.37,94.85,7.17,6.71,NA,24.102,NA
"234","2024-07-11 11:20:00",1985890,NA,0.86,80.84,8.15,6.75,0.677,27.671,-0.0357
"235","2024-07-29 12:05:00",1822180,NA,NA,69.68,8.31,6.82,0.824,24.702,-0.1461
"236","2024-08-06 13:50:00",2125830,NA,NA,73.83,7.93,6.8,1.098,27.503,0.4003
