,location,sample_id,sample_datetime,date,time,Sal_ppt,H20_temp_C,Alk_GP_avg,Alk_GP_sd,Alk_GP_se,month,year
33,Marsh_weir,1490,8/30/2023 10:49,8/30/2023,10:49:00,12.92,25.1,1929.6,3.46396,2.44939,8,2023
34,Marsh_weir,1491,9/5/2023 10:33,9/5/2023,10:33:00,13.52,25.9,2052.221,2.23883,1.58309,9,2023
35,Marsh_weir,1492,9/14/2023 12:42,9/14/2023,12:42:00,12.62,25.3,3207.756,2.34283,1.65663,9,2023
36,Marsh_weir,1493,9/19/2023 10:48,9/19/2023,10:48:00,12.79,19.1,2990.143,1.50909,1.06709,9,2023
37,Marsh_weir,1494,10/11/2023 11:15,10/11/2023,11:15:00,13.64,14.9,1763.221,0.44061,0.31156,10,2023
38,Marsh_weir,1495,10/20/2023 15:16,10/20/2023,15:16:00,14.97,17.1,1733.515,4.80287,3.39614,10,2023
39,Marsh_weir,1496,10/30/2023 11:01,10/30/2023,11:01:00,15.63,17.3,1944.524,0.18335,0.12965,10,2023
40,Marsh_weir,1497,11/8/2023 12:23,11/8/2023,12:23:00,16.31,12,2034.861,0.07305,0.05166,11,2023
41,Marsh_weir,1498,11/17/2023 13:12,11/17/2023,13:12:00,16.1,11.2,1982.216,0.20235,0.14308,11,2023
42,Marsh_weir,1499,11/29/2023 10:58,11/29/2023,10:58:00,12.42,5.2,3558.025,4.65617,3.29241,11,2023
43,Marsh_weir,1500,12/19/2023 12:15,12/19/2023,12:15:00,5.54,5.5,806.42,2.12316,1.5013,12,2023
44,Marsh_weir,1501,1/3/2024 13:35,1/3/2024,13:35:00,7.89,6.2,1185.678,0.51355,0.36313,1,2024
45,Marsh_weir,1557,1/10/2023 11:19,1/10/2023,11:19:00,11.09,4.9,1420.065,0.71369,0.50466,1,2023
46,Marsh_weir,1597,1/12/2024 10:16,1/12/2024,10:16:00,8.04,3.1,1230.647,0.25938,0.18341,1,2024
47,Marsh_weir,1598,1/18/2024 10:57,1/18/2024,10:57:00,8.62,1.5,1223.146,0.08149,0.05762,1,2024
48,Marsh_weir,1599,2/1/2024 15:40,2/1/2024,15:40:00,4.62,6.4,1057.554,2.41533,1.7079,2,2024
49,Marsh_weir,1600,2/22/2024 14:31,2/22/2024,14:31:00,8.17,7.3,1235.288,20.01086,14.14982,2,2024
50,Marsh_weir,1601,2/27/2024 10:50,2/27/2024,10:50:00,8.56,5.7,1214.404,3.6469,2.57874,2,2024
51,Marsh_weir,1602,3/8/2024 14:03,3/8/2024,14:03:00,6.52,12.4,1013.768,1.6983,1.20088,3,2024
52,Marsh_weir,1603,3/20/2024 11:06,3/20/2024,11:06:00,6.98,9.3,1141.055,0.22439,0.15867,3,2024
53,Marsh_weir,1604,4/12/2024 15:11,4/12/2024,15:11:00,4.98,18.7,981.61,0.59788,0.42276,4,2024
54,Marsh_weir,1605,4/18/2024 11:31,4/18/2024,11:31:00,4.08,16.8,1309.668,0.33939,0.23998,4,2024
55,Marsh_weir,1606,4/25/2024 13:58,4/25/2024,13:58:00,3.66,16.9,1104.68,1.17055,0.8277,4,2024
56,Marsh_weir,1607,5/9/2024 12:14,5/9/2024,12:14:00,4.04,20.8,1276.236,0.5098,0.36048,5,2024
57,Marsh_weir,1608,5/14/2024 10:46,5/14/2024,10:46:00,4.58,4.58,1120.013,2.71802,1.92193,5,2024
58,Marsh_weir,1609,5/24/2024 11:08,5/24/2024,11:08:00,3.73,21.4,1586.156,1.81369,1.28247,5,2024
59,Marsh_weir,1611,6/5/2024 11:19,6/5/2024,11:19:00,5.54,24.8,1408.891,0.07359,0.05204,6,2024
60,Marsh_weir,1612,6/13/2024 12:15,6/13/2024,12:15:00,6.75,25.1,1491.37,0.47728,0.33749,6,2024
61,Marsh_weir,1613,6/20/2024 14:10,6/20/2024,14:10:00,6.92,28.9,2254.353,1.24217,0.87834,6,2024
62,Marsh_weir,1614,7/11/2024 11:19,7/11/2024,11:19:00,8.46,27,1985.89,0.94833,0.67057,7,2024
63,Marsh_weir,1615,7/29/2024 12:06,7/29/2024,12:06:00,8.26,28.4,1822.18,0.6047,0.42759,7,2024
64,Marsh_weir,1616,8/6/2024 13:48,8/6/2024,13:48:00,8.14,29.6,2125.83,10.14936,7.17668,8,2024
