"","Project","Site","Replicate","Sample_Type","Sample_ID","Date","Time_EDT","Time_EST","ic_mgL","ic_uM","ic_flag","Analysis_runtime","Run_notes","Field_notes","DO_mgL","pH","Salinity_ppt","Temp","Radium_Vol_L"
"14","SERC Lateral Flux","Flume","1230","SW","Flume_20230816_SW_1230","8/16/2023","12:30","11:30",31.12,2590.95828823578,"","8/18/2023 10:06:17 PM"," The standard curve for this run was checked manually on the instrument. ","August: Spring Tide ",NA,NA,NA,NA,22.5
"15","SERC Lateral Flux","Flume","1330","SW","Flume_20230816_SW_1330","8/16/2023","13:30","12:30",31.94,2659.22904004662,"","8/18/2023 10:19:56 PM"," The standard curve for this run was checked manually on the instrument. ","August: Spring Tide ",NA,NA,NA,NA,22.5
"16","SERC Lateral Flux","Flume","1430","SW","Flume_20230816_SW_1430","8/16/2023","14:30","13:30",27.24,2267.92107235035,"","8/18/2023 10:33:34 PM"," The standard curve for this run was checked manually on the instrument. ","August: Spring Tide ",NA,NA,NA,NA,22.5
"17","SERC Lateral Flux","Flume","1530","SW","Flume_20230816_SW_1530","8/16/2023","15:30","14:30",26.71,2223.79485471651,"","8/18/2023 11:00:35 PM"," The standard curve for this run was checked manually on the instrument. ","August: Spring Tide ",NA,NA,NA,NA,22.5
"18","SERC Lateral Flux","Flume","1630","SW","Flume_20230816_SW_1630","8/16/2023","16:30","15:30",25.83,2150.52868204146,"","8/18/2023 11:14:07 PM"," The standard curve for this run was checked manually on the instrument. ","August: Spring Tide ",NA,NA,NA,NA,22.5
"19","SERC Lateral Flux","Flume","1730","SW","Flume_20230816_SW_1730","8/16/2023","17:30","16:30",23.7,1973.19124136208,"","8/18/2023 11:40:35 PM"," The standard curve for this run was checked manually on the instrument. ","August: Spring Tide ",NA,NA,NA,NA,22.5
"20","SERC Lateral Flux","Flume","T1","GW","Flume_20230816_GW_T1_NW5","8/16/2023","11:00","10:00",27.92,2324.5358421447,"","8/19/2023 12:07:42 AM"," The standard curve for this run was checked manually on the instrument. ","August: Spring Tide ",NA,NA,NA,0,NA
"21","SERC Lateral Flux","Flume","T2","GW","Flume_20230816_GW_T2_NW1","8/16/2023","12:00","11:00",17.43,1451.16976105237,"","8/19/2023 12:20:04 AM"," The standard curve for this run was checked manually on the instrument. ","August: Spring Tide ",NA,NA,NA,0,NA
"22","SERC Lateral Flux","Flume","6","GW","Flume_20230807_GW_6","8/7/2023","11:10","10:10",25.54,2126.38414786446,"","8/10/2023 1:20:22 PM"," The standard curve for this run was checked manually on the instrument. ","August: Neap Tide ","0.058",7.34,"10.3",29.4,2.5
"23","SERC Lateral Flux","Flume","5","GW","Flume_20230807_GW_5","8/7/2023","10:30","9:30",30.03,2500.20814253601,"","8/10/2023 1:33:55 PM"," The standard curve for this run was checked manually on the instrument. ","August: Neap Tide ","0.269",6.75,"11.2",25.7,3.8
"24","SERC Lateral Flux","Flume","4","GW","Flume_20230807_GW_4","8/7/2023","9:45","8:45",62.51,5204.3959703605,"","8/10/2023 1:48:33 PM"," The standard curve for this run was checked manually on the instrument. ","August: Neap Tide ","2.31",6.8,"11.9",26.7,3.8
"25","SERC Lateral Flux","Flume","3","GW","Flume_20230807_GW_3","8/7/2023","9:20","8:20",25.95,2160.51952376988,"","8/10/2023 2:02:20 PM"," The standard curve for this run was checked manually on the instrument. ","August: Neap Tide ","0.075",6.53,"11.2",23.9,3.8
"26","SERC Lateral Flux","Flume","2","GW","Flume_20230807_GW_2","8/7/2023","8:50","7:50",48.1,4004.66239280659,"","8/10/2023 2:16:16 PM"," The standard curve for this run was checked manually on the instrument. ","August: Neap Tide ","4.676",7.05,"12.3",25.9,3.8
"27","SERC Lateral Flux","Flume","1","GW","Flume_20230807_GW_1","8/7/2023","8:15","7:15",71.98,5992.8398967613,"","8/10/2023 2:32:03 PM"," The standard curve for this run was checked manually on the instrument. ","August: Neap Tide ","3:08",6.42,"16:48",25.7,3.8
"28","SERC Lateral Flux","Flume","0530","SW","Flume_20230808_SW_0530","8/8/2023","5:30","4:30",18.03,1501.12396969445,"","8/10/2023 3:14:03 PM"," The standard curve for this run was checked manually on the instrument. ","August: Neap Tide ",NA,NA,NA,NA,22.5
"29","SERC Lateral Flux","Flume","0630","SW","Flume_20230808_SW_0630","8/8/2023","6:30","5:30",18.3,1523.60336358338,"","8/10/2023 3:26:58 PM"," The standard curve for this run was checked manually on the instrument. ","August: Neap Tide ",NA,NA,NA,NA,22.5
"30","SERC Lateral Flux","Flume","0730","SW","Flume_20230808_SW_0730","8/8/2023","7:30","6:30",13.14,1093.99716926151,"","8/10/2023 3:38:55 PM"," The standard curve for this run was checked manually on the instrument. ","August: Neap Tide ",NA,NA,NA,NA,22.5
"31","SERC Lateral Flux","Flume","0830","SW","Flume_20230808_SW_0830","8/8/2023","8:30","7:30",13.33,1109.81600199817,"","8/10/2023 3:51:04 PM"," The standard curve for this run was checked manually on the instrument. ","August: Neap Tide ",NA,NA,NA,NA,22.5
"32","SERC Lateral Flux","Flume","0930","SW","Flume_20230808_SW_0930","8/8/2023","9:30","8:30",17.65,1469.48630422113,"","8/10/2023 4:03:52 PM"," The standard curve for this run was checked manually on the instrument. ","August: Neap Tide ",NA,NA,NA,NA,22.5
"33","SERC Lateral Flux","Flume","1030","SW","Flume_20230808_SW_1030","8/8/2023","10:30","9:30",19.14,1593.53925568229,"","8/10/2023 4:16:50 PM"," The standard curve for this run was checked manually on the instrument. ","August: Neap Tide ",NA,NA,NA,NA,22.5
"34","SERC Lateral Flux","Flume","1130","SW","Flume_20230808_SW_1130","8/8/2023","11:30","10:30",17.83,1484.47256681375,"","8/10/2023 4:29:48 PM"," The standard curve for this run was checked manually on the instrument. ","August: Neap Tide ",NA,NA,NA,NA,22.5
"35","SERC Lateral Flux","Flume","1230","SW","Flume_20230808_SW_1230","8/8/2023","12:30","11:30",22.43,1867.45483306969,"","8/10/2023 4:43:15 PM"," The standard curve for this run was checked manually on the instrument. ","August: Neap Tide ",NA,NA,NA,NA,22.5
"36","SERC Lateral Flux","Flume","1330","SW","Flume_20230808_SW_1330","8/8/2023","13:30","12:30",24.18,2013.15460827575,"","8/10/2023 4:56:45 PM"," The standard curve for this run was checked manually on the instrument. ","August: Neap Tide ",NA,NA,NA,NA,22.5
"37","SERC Lateral Flux","Flume","1430","SW","Flume_20230808_SW_1430","8/8/2023","14:30","13:30",26.03,2167.18008492215,"","8/10/2023 5:09:40 PM"," The standard curve for this run was checked manually on the instrument. ","August: Neap Tide ",NA,NA,NA,NA,22.5
"38","SERC Lateral Flux","Flume","1530","SW","Flume_20230808_SW_1530","8/8/2023","15:30","14:30",26.77,2228.79027558072,"","8/10/2023 5:23:10 PM"," The standard curve for this run was checked manually on the instrument. ","August: Neap Tide ",NA,NA,NA,NA,22.5
"39","SERC Lateral Flux","Flume","1630","SW","Flume_20230808_SW_1630","8/8/2023","16:30","15:30",27.02,2249.60452918158,"","8/10/2023 5:36:47 PM"," The standard curve for this run was checked manually on the instrument. ","August: Neap Tide ",NA,NA,NA,NA,22.5
"40","SERC Lateral Flux","Flume","1730","SW","Flume_20230808_SW_1730","8/8/2023","17:30","16:30",26.62,2216.3017234202,"","8/10/2023 5:49:48 PM"," The standard curve for this run was checked manually on the instrument. ","August: Neap Tide ",NA,NA,NA,NA,22.5
