Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-Cl	IC-Cl	IC-Cl	IC-Cl	IC-Cl
88	57_FTS_1600_20240215	Unknown	4.760 	1282.8502 	45.40 	24.4804 	149.03 
89	58_FTS_1700_20240215	Unknown	4.753 	1503.2229 	45.89 	28.6858 	177.86 
90	59_FTS_1800_20240215	Unknown	4.753 	1842.4305 	44.55 	35.1588 	232.94 
91	60_FTS_1900_20240215	Unknown	4.763 	1889.8152 	44.39 	36.0631 	237.94 
92	60_FTS_1900_20240215_dup	Unknown	4.707 	2045.8029 	48.91 	39.0398 	235.01 
93	61_TEMPEST_Aquifer_A_20240124	Unknown	4.750 	0.0092 	0.00 	0.0004 	0.01 
94	61_TEMPEST_Aquifer_A_20240124_spk	Spiked	4.900 	0.0143 	0.00 	0.0005 	0.01 
95	Standard 1	Check Standard	4.713 	3.2778 	57.52 	6.2549 	38.33 
96	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
97	62_TEMPEST_Aquifer_B_20240124	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
98	63_TEMPEST_Aquifer_C_20240124	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
99	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
100	Standard 1	Check Standard	4.717 	3.2681 	57.29 	6.2365 	38.45 
101	Standard 2	Check Standard	4.760 	6.0492 	52.24 	11.5437 	77.00 
102	Standard 3	Check Standard	4.760 	12.1062 	52.65 	23.1021 	152.67 
103	Standard 4	Check Standard	4.760 	64.1420 	56.02 	122.4013 	775.52 
104	Standard 5	Check Standard	4.760 	138.9990 	61.55 	265.2498 	1577.60 
105	Lab Blank	Unknown	4.743 	0.0078 	57.56 	0.0149 	0.12 
Maximum			4.900 	4992.2626 	91.81 	380.5347 	1596.54 
Average			4.672 	1226.6631 	49.25 	39.3456 	219.57 
Minimum			4.550 	0.0078 	0.00 	0.0004 	0.01 
Standard Deviation			0.056 	1002.0764 	18.60 	56.8415 	285.62 
Relative Standard Deviation			1.20%	81.69%	37.76%	144.47%	130.08%
