"","Project","Site","Replicate","Sample_Type","Sample_ID","Date","Time_EDT","Time_EST","npoc_mgL","npoc_uM","npoc_flag","tdn_mgL","tdn_uM","tdn_flag","Analysis_runtime","Run_notes","Field_notes","DO_mgL","pH","Salinity_ppt","Temp","Radium_Vol_L"
"19","SERC Lateral Flux","Flume","2100","SW","Flume_20240208_SW_2100_isco","2/8/2024","21:00","22:00",3.67,305.553242860711,"",0.291,20.7757715950224,"","2/19/2024 8:56:40 AM","Standard Curve was assessed manually on the instrument.","February: Neap Tide; ISCO sample",NA,NA,NA,NA,5
"20","SERC Lateral Flux","Flume","2200","SW","Flume_20240208_SW_2200","2/8/2024","22:00","23:00",3.628,302.056448255766,"",0.2617,18.6839155546988,"","2/19/2024 9:20:51 AM","Standard Curve was assessed manually on the instrument.","February: Neap Tide; ISCO sample",NA,NA,NA,NA,NA
"21","SERC Lateral Flux","Flume","2300","SW","Flume_20240208_SW_2300","2/8/2024","23:00","0:00",3.637,302.805761385397,"",0.2701,19.2836285491943,"","2/19/2024 10:57:20 AM","Standard Curve was assessed manually on the instrument.","February: Neap Tide; ISCO sample",NA,NA,NA,NA,NA
"22","SERC Lateral Flux","Flume","2400","SW","Flume_20240208_SW_2400","2/9/2024","0:00","1:00",3.45,287.236699691949,"",0.4552,32.4987327493271,"","2/19/2024 11:22:50 AM","Standard Curve was assessed manually on the instrument.","February: Neap Tide; ISCO sample",NA,NA,NA,NA,NA
"23","SERC Lateral Flux","Flume","0000","SW","Flume_20240209_SW_0000","2/9/2024","1:00","2:00",3.327,276.996086920323,"",0.5977,42.6724353345185,"","2/19/2024 11:46:13 AM","Standard Curve was assessed manually on the instrument.","February: Neap Tide; ISCO sample",NA,NA,NA,NA,NA
"24","SERC Lateral Flux","Flume","0100","SW","Flume_20240209_SW_0100","2/9/2024","2:00","3:00",3.386,281.908250770127,"",0.5869,41.9013757701671,"","2/19/2024 12:12:29 PM","Standard Curve was assessed manually on the instrument.","February: Neap Tide; ISCO sample",NA,NA,NA,NA,NA
"25","SERC Lateral Flux","Flume","0200","SW","Flume_20240209_SW_0200","2/9/2024","3:00","4:00",3.196,266.089418033469,"",0.6095,43.5148893029764,"","2/19/2024 12:36:45 PM","Standard Curve was assessed manually on the instrument.","February: Neap Tide; ISCO sample",NA,NA,NA,NA,NA
"26","SERC Lateral Flux","Flume","0300","SW","Flume_20240209_SW_0300","2/9/2024","4:00","5:00",3.32,276.413287819499,"",0.586,41.8371208064712,"","2/19/2024 1:03:48 PM","Standard Curve was assessed manually on the instrument.","February: Neap Tide; ISCO sample",NA,NA,NA,NA,NA
"27","SERC Lateral Flux","Flume","0400","SW","Flume_20240209_SW_0400","2/9/2024","5:00","6:00",3.456,287.73624177837,"",0.6074,43.3649610543526,"","2/19/2024 1:31:53 PM","Standard Curve was assessed manually on the instrument.","February: Neap Tide; ISCO sample",NA,NA,NA,NA,NA
"28","SERC Lateral Flux","Flume","0500","SW","Flume_20240209_SW_0500",NA,NA,NA,3.623,301.640163183748,"",0.4884,34.8690269656664,"","2/19/2024 1:58:41 PM","Standard Curve was assessed manually on the instrument.",NA,NA,NA,NA,NA,NA
"29","SERC Lateral Flux","Flume","0600","SW","Flume_20240209_SW_0600",NA,NA,NA,3.605,300.141536924486,"",0.4213,30.0784624501132,"","2/19/2024 2:23:26 PM","Standard Curve was assessed manually on the instrument.",NA,NA,NA,NA,NA,NA
"30","SERC Lateral Flux","Flume","0700","SW","Flume_20240209_SW_0700",NA,NA,NA,3.622,301.556906169345,"",0.3559,25.4092684215411,"","2/19/2024 2:47:33 PM","Standard Curve was assessed manually on the instrument.",NA,NA,NA,NA,NA,NA
"31","SERC Lateral Flux","Flume","1000","SW","Flume_20240208_SW_1000","2/8/2024","10:00","11:00",3.935,327.616351677629,"",0.3286,23.4602011894308,"","2/19/2024 4:16:04 PM","Standard Curve was assessed manually on the instrument.","February: Neap Tide ",NA,NA,NA,NA,5
"32","SERC Lateral Flux","Flume","1100","SW","Flume_20240208_SW_1100","2/8/2024","11:00","12:00",4.066,338.523020564483,"",0.4917,35.1046284992182,"","2/19/2024 4:40:10 PM","Standard Curve was assessed manually on the instrument.","February: Neap Tide ",NA,NA,NA,NA,5
"33","SERC Lateral Flux","Flume","1200","SW","Flume_20240208_SW_1200","2/8/2024","12:00","13:00",3.716,309.38306552327,"",0.6109,43.6148414687257,"","2/19/2024 5:00:35 PM","Standard Curve was assessed manually on the instrument.","February: Neap Tide ",NA,NA,NA,NA,5
"34","SERC Lateral Flux","Flume","1300","SW","Flume_20240208_SW_1300","2/8/2024","13:00","14:00",3.495,290.983265340105,"",0.5984,42.7224114173931,"","2/19/2024 5:26:24 PM","Standard Curve was assessed manually on the instrument.","February: Neap Tide ",NA,NA,NA,NA,5
"35","SERC Lateral Flux","Flume","1","GW","Flume_20240208_GW_1","2/8/2024","12:45","13:45",5.504,458.246607276663,"",3.794,270.870369180464,"value above cal curve","2/19/2024 5:50:05 PM","Standard Curve was assessed manually on the instrument.","February: Neap Tide ","23:24",7.54,"21:36",9.5,1.65
"36","SERC Lateral Flux","Flume","2","GW","Flume_20240208_GW_2","2/8/2024","13:45","14:45",5.464,454.916326700525,"",1.62,115.658934652702,"","2/19/2024 6:07:34 PM","Standard Curve was assessed manually on the instrument.","February: Neap Tide ","4.09",6.76,"8.6",8.8,3.5
"37","SERC Lateral Flux","Flume","3","GW","Flume_20240208_GW_3","2/8/2024","14:45","15:45",3.243,270.002497710432,"",0.5481,39.1312728908308,"","2/19/2024 6:32:52 PM","Standard Curve was assessed manually on the instrument.","February: Neap Tide ",NA,7.32,"5.1",8.7,3.5
"38","SERC Lateral Flux","Flume","5","GW","Flume_20240208_GW_5","2/8/2024","16:45","17:45",3.471,288.985096994422,"",0.4599,32.8342864486282,"","2/19/2024 6:57:35 PM","Standard Curve was assessed manually on the instrument.","February: Neap Tide ",NA,NA,"4.7",7,3.5
"39","SERC Lateral Flux","Flume","4","GW","Flume_20240208_GW_4","2/8/2024","15:45","16:45",3.654,304.221130630256,"",0.7795,55.6519380010995,"","2/19/2024 7:23:10 PM","Standard Curve was assessed manually on the instrument.","February: Neap Tide ","2.865",7.07,"8",7.1,3.5
"40","SERC Lateral Flux","Flume","1","FW","Flume_20240209_FW_1","2/9/2024","12:15","13:15",1.136,94.5799683623345,"",0.1189,8.48879464827547,"","2/19/2024 7:38:48 PM","Standard Curve was assessed manually on the instrument.","February: Neap Tide ","11.521",4.79,"0",13.4,3.5
"41","SERC Lateral Flux","Flume","2","FW","Flume_20240209_FW_2","2/9/2024","11:45","12:45",1.31,109.066688868537,"",0.02417,1.72560274725667,"","2/19/2024 9:13:54 PM","Standard Curve was assessed manually on the instrument.","February: Neap Tide ","8.269",5.93,"0",11.87,3.5
"42","SERC Lateral Flux","Flume","0800","SW","Flume_20240215_SW_0800","2/15/2024","8:00","9:00",3.788,315.37757056032,"",0.4757,33.9623180335125,"","2/19/2024 9:40:29 PM","Standard Curve was assessed manually on the instrument.","February: Spring Tide ",NA,NA,NA,NA,22.5
"43","SERC Lateral Flux","Flume","0900","SW","Flume_20240215_SW_0900","2/15/2024","9:00","10:00",3.526,293.564232786612,"",0.3969,28.336438989912,"","2/19/2024 10:06:30 PM","Standard Curve was assessed manually on the instrument.","February: Spring Tide ",NA,NA,NA,NA,22.5
"44","SERC Lateral Flux","Flume","1000","SW","Flume_20240215_SW_1000","2/15/2024","10:00","11:00",3.774,314.211972358671,"",0.4384,31.2993067603361,"","2/19/2024 10:32:02 PM","Standard Curve was assessed manually on the instrument.","February: Spring Tide ",NA,NA,NA,NA,22.5
"45","SERC Lateral Flux","Flume","1100","SW","Flume_20240215_SW_1100","2/15/2024","11:00","12:00",3.757,312.796603113812,"",0.4805,34.3050111732242,"","2/19/2024 10:57:22 PM","Standard Curve was assessed manually on the instrument.","February: Spring Tide ",NA,NA,NA,NA,22.5
"46","SERC Lateral Flux","Flume","1200","SW","Flume_20240215_SW_1200","2/15/2024","12:00","13:00",3.819,317.958538006827,"",0.4395,31.3778406048534,"","2/19/2024 11:22:50 PM","Standard Curve was assessed manually on the instrument.","February: Spring Tide ",NA,NA,NA,NA,22.5
"47","SERC Lateral Flux","Flume","1300","SW","Flume_20240215_SW_1300","2/15/2024","13:00","14:00",4.056,337.690450420448,"",0.4104,29.3002634453512,"","2/19/2024 11:48:43 PM","Standard Curve was assessed manually on the instrument.","February: Spring Tide ",NA,NA,NA,NA,22.5
"48","SERC Lateral Flux","Flume","1400","SW","Flume_20240215_SW_1400","2/15/2024","14:00","15:00",4.166,346.848722004829,"",0.4292,30.6424782425553,"","2/20/2024 12:13:16 AM","Standard Curve was assessed manually on the instrument.","February: Spring Tide ",NA,NA,NA,NA,22.5
"49","SERC Lateral Flux","Flume","1600","SW","Flume_20240215_SW_1600","2/15/2024","16:00","17:00",3.966,330.197319124136,"",0.7234,51.6467119307189,"","2/25/2024 1:19:21 PM","Standard Curve was assessed manually on the instrument.","February: Spring Tide ",NA,NA,NA,NA,22.5
"50","SERC Lateral Flux","Flume","1700","SW","Flume_20240215_SW_1700","2/15/2024","17:00","18:00",3.877,322.787444842228,"",0.8576,61.2278409618254,"","2/25/2024 2:30:16 PM","Standard Curve was assessed manually on the instrument.","February: Spring Tide ",NA,NA,NA,NA,22.5
"51","SERC Lateral Flux","Flume","1800","SW","Flume_20240215_SW_1800","2/15/2024","18:00","19:00",3.297,274.498376488219,"",0.9914,70.7804122312893,"","2/25/2024 2:59:39 PM","Standard Curve was assessed manually on the instrument.","February: Spring Tide ",NA,NA,NA,NA,22.5
"52","SERC Lateral Flux","Flume","1900","SW","Flume_20240215_SW_1900","2/15/2024","19:00","20:00",3.105,258.513029722754,"",0.9366,66.8679988862473,"","2/25/2024 3:28:27 PM","Standard Curve was assessed manually on the instrument.","February: Spring Tide ",NA,NA,NA,NA,22.5
"53","SERC Lateral Flux","Flume","1","GW","Flume_20240215_GW_1","2/15/2024","8:45","9:45",5.85,487.053534260261,"",3.688,263.302562345163,"value above cal curve","2/25/2024 3:49:59 PM","Standard Curve was assessed manually on the instrument.","February: Spring Tide ","1.535",6.76,"6",8.6,1.225
"54","SERC Lateral Flux","Flume","2","GW","Flume_20240215_GW_2","2/15/2024","9:45","10:45",7.849,653.484306052785,"",2.644,188.766804457867,"","2/25/2024 4:20:32 PM","Standard Curve was assessed manually on the instrument.","February: Spring Tide ","0.554",6.89,"10.2",7.3,3.7
"55","SERC Lateral Flux","Flume","4","GW","Flume_20240215_GW_4","2/15/2024","10:45","11:45",4.075,339.272333694114,"",1.123,80.1759158117187,"","2/25/2024 4:48:52 PM","Standard Curve was assessed manually on the instrument.","February: Spring Tide ","5:42",7.01,"7.7",6.9,3.7
"56","SERC Lateral Flux","Flume","6","GW","Flume_20240215_GW_6","2/15/2024","11:45","12:45",3.985,331.779202397802,"",0.7072,50.4901225841919,"","2/25/2024 5:19:27 PM","Standard Curve was assessed manually on the instrument.","February: Spring Tide ","3:25",7.14,"5.4",7.3,3.7
"57","SERC Lateral Flux","Flume","1","FW","Flume_20240216_FW_1","2/16/2024","8:45","9:45",0.9676,80.5594871367913,"",0.324,23.1317869305404,"","2/25/2024 5:48:19 PM","Standard Curve was assessed manually on the instrument.","February: Spring Tide ","4.001",6.43,"0",11.1,3.7
"58","SERC Lateral Flux","Flume","1","FS","Flume_20240215_FS_1","2/16/2024","10:15","11:15",1.239,103.155440845891,"",0.4104,29.3002634453512,"","2/25/2024 6:19:06 PM","Standard Curve was assessed manually on the instrument.","February: Spring Tide ","4.334",4.18,"0",11.5,3.7
"59","SERC Lateral Flux","Flume","2","FW","Flume_20240215_FW_2","2/16/2024","10:00","11:00",4.02,334.693197901923,"",1.009,72.0369537435656,"","2/25/2024 6:48:29 PM","Standard Curve was assessed manually on the instrument.","February: Spring Tide ","6.406",4.5,"0",11.4,3.7
